Filename,Mean Brightness,Std Brightness,Max Brightness,Min Brightness,Hue Hist Feature 1,Hue Hist Feature 2,Hue Std,Contrast,Mean Saturation,Std Saturation,Max Saturation,Min Saturation,SIFT Features,Texture Contrast,Texture Dissimilarity,Texture Homogeneity,Texture Energy,Texture Correlation,Texture ASM,Excess Green Index,Excess Red Index,CIVE,ExG-ExR Ratio,CIVE Ratio,0%,25%,50%,75%,best_network
frame_25.jpg,160.776,21.501,251.0,37.0,19,190.0,16.849,0.094,73.449,24.455,246.0,0.0,897,0.2749166768590999,0.2504930589530333,0.8771909759194781,0.4068150703244849,0.9222675704262328,0.1654985014431155,4,50.79999999999998,19.082449999999973,0.8548355102539062,0.7919235229492188,0.56845534,0.50675637,0.5019306,0.38455126,0%
frame_26.jpg,165.399,20.377,252.0,77.0,12,393.0,14.766,0.082,67.239,18.671,255.0,0.0,609,0.2270249816536202,0.213058800146771,0.8948170530247522,0.4340916900990371,0.9297189168238328,0.1884355954130385,58,39.6,-2.1415500000000094,0.9111785888671876,0.8585014343261719,0.58980334,0.5390639,0.5412117,0.43925303,0%
frame_27.jpg,165.692,21.061,252.0,77.0,19,3.0,18.366,0.103,72.316,21.112,255.0,0.0,720,0.2369129158512719,0.220592282289628,0.8913332242143437,0.4390729241011868,0.9292471188421432,0.1927850326787665,72,43.6,-7.388550000000023,0.8676719665527344,0.8153724670410156,0.5120637,0.42255414,0.44588745,0.3331496,0%
frame_28.jpg,165.781,20.449,253.0,72.0,19,345.0,17.497,0.098,69.272,20.066,255.0,0.0,651,0.2362746147260274,0.2195641205968688,0.8917875798105848,0.4488425811339835,0.925495988428876,0.2014596626390166,41,51.19999999999999,4.845449999999978,0.8831405639648438,0.8228874206542969,0.4444168,0.35593385,0.36660138,0.27793795,0%
frame_29.jpg,164.131,21.772,253.0,65.0,20,113.0,21.025,0.117,70.036,22.953,255.0,0.0,601,0.2344781983855184,0.2210624082681017,0.8908103748776909,0.4310720966384474,0.9363073630284056,0.1858231525002669,0,71.19999999999999,21.45745,0.8319091796875,0.7544288635253906,0.49538943,0.35375556,0.42913303,0.29670256,0%
frame_30.jpg,164.389,20.43,250.0,74.0,15,136.0,17.782,0.099,69.041,20.766,168.0,0.0,589,0.2291157045009782,0.21605155332681,0.8932806384540113,0.4220312304865091,0.9309613255155096,0.178110359505957,64,43.6,-4.301550000000027,0.8466224670410156,0.786224365234375,0.50769657,0.42254168,0.44645917,0.35488972,0%
frame_31.jpg,165.266,19.776,248.0,78.0,15,93.0,16.964,0.095,70.932,20.383,172.0,0.0,536,0.2211694288160468,0.2075013759784735,0.8976161172945203,0.4366013499665455,0.929317006019718,0.19062073879261,59,48.39999999999998,-2.1755500000000154,0.8357963562011719,0.7884254455566406,0.48078793,0.41246077,0.43014273,0.3372241,0%
frame_32.jpg,167.591,20.663,249.0,80.0,19,51.0,21.379,0.119,66.602,22.627,144.0,0.0,685,0.2302547089041096,0.2186276908023483,0.8918488564090017,0.4293451111853048,0.9314642087323396,0.1843372244987217,66,46.39999999999998,-4.966550000000019,0.8011703491210938,0.7100601196289062,0.48594388,0.4431657,0.44795552,0.38376948,0%
frame_33.jpg,168.53,20.173,251.0,84.0,16,103.0,19.948,0.111,65.619,20.831,255.0,0.0,575,0.2193577238258318,0.2083193187377692,0.896944181139922,0.4357606716811252,0.9320319097225984,0.1898873629839854,64,42.39999999999998,-4.346550000000001,0.8089485168457031,0.73895263671875,0.612737,0.54014796,0.5469306,0.43697366,0%
frame_34.jpg,165.089,20.94,251.0,75.0,15,300.0,19.259,0.108,70.498,23.676,171.0,0.0,573,0.2200533573874755,0.208816199853229,0.8967156158268099,0.442554926901312,0.936042207080057,0.1958548633246256,6,65.79999999999998,18.93444999999999,0.7468643188476562,0.7109031677246094,0.5509373,0.37844506,0.45811814,0.3494861,0%
